策略: ScannablePullbackReboundStrategy
扫描日期范围: 2025-09-10 到 2025-12-08
  300014 - 信号数: 1
  300062 - 信号数: 1
  300078 - 信号数: 1
  300082 - 信号数: 1
  300086 - 信号数: 1
  300094 - 信号数: 1
  300128 - 信号数: 1
  300139 - 信号数: 1
  300179 - 信号数: 1
  300290 - 信号数: 1
  300302 - 信号数: 1
  300393 - 信号数: 1
  300427 - 信号数: 1
  300437 - 信号数: 1
  300438 - 信号数: 1
  300455 - 信号数: 1
  300497 - 信号数: 1
  300516 - 信号数: 1
  300520 - 信号数: 1
  300560 - 信号数: 1
  300589 - 信号数: 1
  300591 - 信号数: 1
  300736 - 信号数: 1
  300756 - 信号数: 2
  300774 - 信号数: 1
  300827 - 信号数: 1
  300903 - 信号数: 1
  300997 - 信号数: 1
  301005 - 信号数: 1
  301071 - 信号数: 1
  301120 - 信号数: 1
  301136 - 信号数: 1
  301150 - 信号数: 1
  301171 - 信号数: 1
  301201 - 信号数: 1
  301231 - 信号数: 1
  301232 - 信号数: 1
  301256 - 信号数: 1
  301292 - 信号数: 1
  301358 - 信号数: 2
  301377 - 信号数: 1
  301391 - 信号数: 1
  301448 - 信号数: 1
  600021 - 信号数: 1
  600089 - 信号数: 1
  600094 - 信号数: 1
  600111 - 信号数: 1
  600172 - 信号数: 1
  600234 - 信号数: 1
  600280 - 信号数: 1
  600302 - 信号数: 1
  600327 - 信号数: 1
  600337 - 信号数: 1
  600376 - 信号数: 1
  600382 - 信号数: 1
  600408 - 信号数: 1
  600537 - 信号数: 1
  600550 - 信号数: 1
  600601 - 信号数: 1
  600617 - 信号数: 1
  600678 - 信号数: 1
  600681 - 信号数: 1
  600683 - 信号数: 1
  600708 - 信号数: 1
  600737 - 信号数: 1
  600748 - 信号数: 1
  600756 - 信号数: 1
  600939 - 信号数: 1
  600977 - 信号数: 1
  601011 - 信号数: 1
  601069 - 信号数: 1
  601116 - 信号数: 1
  601126 - 信号数: 1
  601212 - 信号数: 1
  601231 - 信号数: 1
  601608 - 信号数: 1
  601888 - 信号数: 1
  603052 - 信号数: 1
  603067 - 信号数: 1
  603156 - 信号数: 1
  603169 - 信号数: 1
  603185 - 信号数: 1
  603232 - 信号数: 1
  603256 - 信号数: 1
  603353 - 信号数: 1
  603366 - 信号数: 1
  603396 - 信号数: 1
  603530 - 信号数: 2
  603556 - 信号数: 1
  603629 - 信号数: 1
  603663 - 信号数: 1
  603759 - 信号数: 1
  603778 - 信号数: 2
  603829 - 信号数: 1
  603898 - 信号数: 1
  603929 - 信号数: 2
  603978 - 信号数: 1
  603986 - 信号数: 1
  605060 - 信号数: 1
  688027 - 信号数: 1
  688028 - 信号数: 1
  688072 - 信号数: 1
  688109 - 信号数: 1
  688123 - 信号数: 1
  688183 - 信号数: 1
  688227 - 信号数: 1
  688233 - 信号数: 1
  688239 - 信号数: 1
  688249 - 信号数: 1
  688275 - 信号数: 1
  688308 - 信号数: 1
  688353 - 信号数: 1
  688498 - 信号数: 2
  688670 - 信号数: 1

无信号的股票 (267 只):
----------------------------------------
  000006
  000017
  000069
  000070
  000078
  000158
  000407
  000509
  000514
  000530
  000547
  000559
  000593
  000620
  000631
  000632
  000633
  000637
  000657
  000663
  000688
  000692
  000788
  000797
  000798
  000811
  000819
  000852
  000901
  000952
  001211
  001255
  001266
  001267
  001277
  001282
  001296
  001309
  001318
  001360
  001387
  001390
  002050
  002054
  002069
  002083
  002084
  002097
  002114
  002149
  002153
  002160
  002171
  002185
  002187
  002192
  002208
  002213
  002227
  002235
  002240
  002249
  002264
  002285
  002295
  002301
  002307
  002317
  002333
  002337
  002348
  002353
  002387
  002398
  002400
  002402
  002413
  002497
  002512
  002513
  002518
  002519
  002542
  002549
  002554
  002560
  002565
  002578
  002585
  002589
  002591
  002593
  002611
  002631
  002632
  002638
  002682
  002686
  002702
  002709
  002728
  002748
  002752
  002767
  002780
  002792
  002825
  002830
  002856
  002864
  002877
  002888
  002910
  002941
  002952
  002961
  002976
  002977
  002983
  003033
  003036
  003038
  300055
  300058
  300071
  300073
  300102
  300111
  300120
  300127
  300131
  300204
  300223
  300250
  300260
  300269
  300274
  300300
  300377
  300390
  300402
  300421
  300444
  300456
  300475
  300612
  300620
  300638
  300785
  300814
  300821
  300850
  300959
  301013
  301111
  301148
  301158
  301183
  301228
  301323
  301360
  301486
  301557
  600010
  600067
  600078
  600097
  600105
  600113
  600121
  600151
  600167
  600168
  600179
  600227
  600246
  600262
  600293
  600308
  600319
  600340
  600343
  600353
  600403
  600410
  600429
  600506
  600516
  600593
  600629
  600635
  600693
  600734
  600745
  600759
  600802
  600815
  600819
  600828
  600829
  600868
  600871
  600960
  600973
  600981
  600984
  600996
  601012
  601106
  601179
  601279
  601360
  601399
  601566
  601606
  601611
  601929
  601956
  603011
  603014
  603026
  603088
  603122
  603155
  603162
  603192
  603216
  603228
  603257
  603280
  603327
  603378
  603386
  603686
  603690
  603696
  603709
  603823
  603877
  603903
  603906
  603933
  603938
  603948
  605108
  605136
  605178
  605188
  605255
  605299
  605318
  605339
  605399
  605580
  688008
  688048
  688110
  688260
  688367
  688392
  688411
  688416
  688525
  688585
  688622
  688679
  688698

出错/数据不足的股票 (7 只):
----------------------------------------
  301563
  301584
  301638
  603175
  920091
  920765
  920809
